step,x,y,z,qx,qy,qz,qw,trans_norm
38,-0.024142077,-0.0331671,0.01804923,0.097053275,-0.060050454,0.01763526,0.99330944,0.0448182
39,-0.029954646,-0.11362133,-0.07078347,0.32931098,-0.104165055,0.013136874,0.9383663,0.13717648
40,-0.009617942,-0.11104329,-0.036136683,0.042988397,-0.0068806256,0.015903158,0.99892527,0.11717072
41,0.008164447,-0.028222656,-0.027393753,-0.1561798,0.055482987,0.019518139,0.9859759,0.040169567
42,0.019328238,0.049489606,0.028410867,-0.122809716,0.05330751,0.016672777,0.99085724,0.06024931
43,-0.003634115,-0.004629461,0.025796628,0.03908728,-0.012906008,0.028996684,0.9987316,0.02645949
44,-0.019685594,-0.091950946,-0.0800704,0.24909967,-0.07741963,-0.0023603083,0.96537554,0.12350614
45,-0.027379055,-0.18089126,-0.09941481,0.16598654,-0.071583636,0.02070737,0.98330843,0.20821759
46,-0.029303435,-0.20837025,-0.014610163,0.24727724,-0.022895861,0.07086971,0.9660783,0.21092726
47,-0.07553607,-0.16229655,0.095031515,0.24284065,-0.06823618,0.020739889,0.967441,0.20267427
48,-0.0490994,-0.19307992,0.092431776,0.20287257,-0.055613406,0.0010783753,0.977624,0.21962295
49,-0.03854549,-0.17716159,0.18723372,0.18192723,-0.022109237,-0.0146911265,0.9829536,0.26063088
50,-0.022694577,-0.06253263,0.23082317,0.09947141,0.0008290485,0.010180281,0.994988,0.24021804
51,-0.0020599798,-0.11810874,0.20109771,0.03848797,0.0031063564,0.027812088,0.9988671,0.23322566
52,0.022170702,-0.07121435,0.22827151,-0.064416416,0.11641603,0.07961206,0.98790675,0.24014768
53,-0.0825499,-0.11642775,0.22267164,0.06434304,0.029063335,0.054709695,0.9960031,0.26448548
54,-0.08915604,-0.14444698,0.1343498,0.047292117,-0.01553551,0.01878161,0.9985837,0.21648002
55,-0.08971768,-0.11711521,0.14265569,0.045675382,-0.009942411,0.00030012758,0.9989068,0.20522153
56,-0.09986648,-0.10515538,0.15186992,0.0850104,-0.04410872,0.020295361,0.99519634,0.20998915
57,-0.06788991,-0.16337886,0.12851606,0.055430193,-0.06513572,-0.0042043827,0.9963268,0.21867344
58,-0.044019494,-0.14926651,0.15527773,0.06592994,0.003369975,0.025858711,0.99748343,0.21983945
59,-0.05630295,-0.06965412,0.13991173,0.043507338,-0.011156193,0.02876707,0.9985765,0.16612348
60,-0.053957097,-0.0987701,0.07563964,-0.017668862,-0.017416079,0.009187985,0.99965,0.13560331
61,-0.038947713,-0.14080733,0.06580708,0.002812591,0.03207522,0.031496488,0.9989851,0.16023171
62,-0.06489871,-0.14979517,0.09815106,-0.0029734913,0.011864017,-0.010538003,0.99986964,0.19048376
63,-0.05727624,-0.19749954,0.04025848,-0.073448546,0.03465172,-0.008888889,0.9966572,0.20954089
64,-0.0492235,-0.1405286,0.094723985,-0.108993754,0.056384776,-0.01978233,0.99224484,0.17647627
65,-0.062058743,-0.120781176,0.005652897,-0.072083846,0.044307414,-0.041140366,0.9955643,0.13590929
66,0.021550035,-0.07473969,-0.11880923,-0.15608731,0.048963107,-0.073365055,0.9837972,0.14200725
67,0.019054247,0.017369043,-0.045533992,-0.0638705,0.028770993,-0.018726952,0.99736756,0.052326787
68,0.0017882535,0.024283966,0.03265786,-0.0029088946,0.01398821,-0.0057296245,0.9998815,0.040736284
69,-0.0015086182,-0.00034861558,0.04113461,0.016206145,0.027524197,0.017349249,0.99933916,0.041163743
70,-0.0018594185,0.0061094984,0.026213929,-0.012122055,0.018756917,0.01684613,0.99960864,0.026980614
71,-0.008510708,-0.007864944,0.015722759,0.0039316397,-0.006055825,0.0069354754,0.9999499,0.019531887
72,-0.007683043,-0.014237361,0.003089654,0.006661539,-0.006964775,0.009309302,0.99991024,0.016470505
73,-0.002414749,-0.0062257056,0.0012992665,-0.00061652163,-0.0011604473,0.0077493195,0.9999691,0.006802832
74,-0.00034506407,-0.007884039,-0.0047431802,0.003312542,-0.0024948015,0.008944619,0.9999514,0.009207328
75,-0.0006628318,-0.008052677,-0.00061241456,-0.003783646,1.0088955e-05,0.013956068,0.99989545,0.008103086
76,0.0019073964,-0.0015118431,-0.00064851023,0.0011769177,0.0050290623,0.0029853324,0.9999822,0.0025188085
77,0.00345996,0.0025926991,-0.00023211328,0.00071033265,0.0036262653,-0.0029821985,0.99998873,0.004329814
78,0.0019735333,-0.0012563793,-0.0049228515,8.7781205e-05,-0.001397085,0.0047254595,0.99998784,0.0054504853
79,-0.0028573847,-0.002594704,-0.0038434914,0.0036899564,-0.0068600336,0.009389372,0.99992555,0.0054469774
80,-0.0013085268,0.0015637073,0.002203889,-0.0013392471,0.0019924927,-0.00295016,0.9999928,0.003002424
81,-0.0023151946,-0.0032739388,-0.0011428673,-0.0018960962,-0.0037002566,0.0007388073,0.99999106,0.004169526
82,0.00032275767,-0.00022175809,0.0029752264,0.00086930813,0.003902561,-0.002077638,0.99998987,0.0030008866
83,0.0003034138,-0.004195083,-0.0019102439,-0.0006434707,-0.0012729641,0.011284201,0.9999353,0.0046195034
84,-0.0012137623,0.0046987007,-0.0011695347,-0.009383003,-0.005559059,-0.004742206,0.9999293,0.0049918755
85,0.0031308017,0.008973566,0.0018985284,-0.0013529982,0.0040045083,-0.00919638,0.9999488,0.009691812
86,0.004504093,0.0030135943,0.002381505,0.0056108185,0.008977005,-0.004296054,0.99993473,0.0059194737
87,1.9608116e-05,0.0016588998,0.0038953028,-0.003395306,0.0043891636,0.0013711152,0.99998367,0.004233877
88,0.00067250215,0.011825242,0.001289935,-0.011135461,0.0020559274,-0.014108622,0.9998363,0.011914385
89,3.5544566e-05,0.014851166,0.013086332,-0.024919,0.010483219,-0.013934269,0.9995374,0.019794203
90,-0.012348341,-0.011714809,0.00766593,-0.0049669165,-0.009069633,-0.017015453,0.99980175,0.018667746
91,-0.012573861,0.05554947,0.026069904,-0.058248892,-0.0044959993,-0.06705512,0.99603736,0.06263773
92,-0.010583797,0.051096447,0.0047192313,-0.2280891,0.033708137,-0.109739296,0.96684873,0.052394032
93,-0.012074569,0.07486375,-0.007103128,-0.31584257,0.0022707027,-0.1062529,0.94284075,0.07616318
94,-0.023375668,0.025867226,0.15095556,-0.11193928,-0.006554887,-0.059615064,0.99190354,0.15492938
95,-0.031066611,-0.04339568,0.23574673,-0.056071687,0.0016831274,-0.018742066,0.9982494,0.2417123
96,-0.03581343,-0.19059971,0.19993208,-0.02562971,-0.001832008,-0.0043411786,0.9996604,0.2785385
97,-0.030515824,-0.20695134,0.24512702,-0.018782146,0.01505673,0.0036498995,0.9997036,0.3222535
98,-0.042663436,-0.25106153,0.22013767,-0.001815994,0.017723791,0.01786825,0.9996816,0.33661944
99,-0.059606966,-0.26996294,0.19787398,-0.063212544,0.025691608,0.0030153533,0.9976648,0.33998102
100,-0.055600498,-0.19619192,0.19771647,-0.052021105,0.026625624,-0.0017134626,0.9982895,0.28403255
101,-0.049105324,-0.2146781,0.14211339,-0.12793608,0.057795737,-0.0027783522,0.99009305,0.26209584
102,-0.028455233,-0.13266288,0.07196313,-0.12660827,0.06368904,0.011548029,0.9898387,0.1535833
103,-0.005186254,-0.048376452,0.0330863,-0.03649887,0.028593155,0.018232338,0.99875814,0.058837757
104,-0.0011173624,-0.010236352,0.014849918,-0.005434835,0.018122168,0.00077742606,0.9998207,0.018070735
105,0.004691943,-0.01315714,0.008165505,-0.00505535,0.010749499,0.005289706,0.9999155,0.01618024
106,0.0059261406,0.0035821314,0.00033404224,-0.023204034,0.0073470566,-0.006646389,0.99968165,0.0069327042
107,0.043548044,0.20525849,-0.045273982,-0.46949223,0.09278697,-0.14638194,0.86575973,0.21465604
108,0.004919335,0.14668542,0.17523247,-0.10833568,0.04744078,-0.11702343,0.986062,0.22857654
109,-0.032082498,0.0854993,0.20289756,-0.021657936,-0.001675392,-0.040008374,0.9989632,0.22250132
110,-0.01238522,-0.0053579984,0.1967102,-0.107593976,0.052455373,-0.010521936,0.9927544,0.19717254
111,-0.038774375,-0.028303951,0.14708658,-0.30536103,0.052578427,-0.053925212,0.9492535,0.15472242
112,-0.042201597,-0.07482165,0.15638307,-0.09241957,0.021899054,-0.044665188,0.9944768,0.17842342
113,-0.056515817,-0.11308512,0.13676006,-0.034184713,0.01976379,-0.0016651779,0.9992187,0.1862407
114,-0.05145428,-0.17491835,0.095684715,-0.06328186,0.026940862,-0.0038819083,0.99762446,0.20591147
115,-0.057221476,-0.096841455,0.12564468,-0.08990395,0.008524255,-0.020936087,0.99569386,0.16863911
116,-0.056470163,-0.15002374,0.10999265,-0.011333937,0.02971536,0.021289133,0.9992674,0.19440779
117,-0.022863606,-0.17233817,-0.017715797,-0.13946533,0.047984865,-0.01307883,0.98897713,0.1747485
118,-0.050397925,-0.1277055,-0.114093184,0.18777059,-0.11763526,-0.045007337,0.9741039,0.17851023
119,-0.012575504,-0.09467587,-0.016985472,0.1145285,-0.034774605,0.010071825,0.99276006,0.09700602
120,0.0022578896,-0.19007954,0.028070364,-0.030154634,0.024077903,0.044676464,0.99825597,0.1921543
121,-0.08675064,-0.10988206,0.012587854,-0.16030644,-0.123741865,-0.1174987,0.97220564,0.14056385
122,-0.009680631,-0.153218,0.06485359,-0.021315088,-0.04659074,-0.030546742,0.9982194,0.16665971
123,0.00950634,-0.17729682,0.018594123,-0.025369981,-0.039330263,-0.013364233,0.99881476,0.17852247
124,-0.0052891676,-0.08339662,0.003069199,-0.190874,-0.01897875,0.010909214,0.98137045,0.083620526
125,0.0059545864,0.063569814,0.067679115,-0.100498706,-0.015093569,-0.042987827,0.9938935,0.09304322
126,0.0027948457,0.0345393,0.051020693,0.0038920052,0.001123262,-0.031642493,0.99949104,0.06167565
127,-0.012528113,-0.0071768644,-0.017455932,0.03507505,-0.03302061,-0.023026695,0.99857354,0.022653269
128,0.053460818,-0.123207346,-0.0694109,0.28683,0.13200429,0.073697664,0.9459768,0.15118195
129,0.045098152,-0.1785479,0.031428628,0.018631997,0.02022132,0.020156475,0.9994187,0.18681797
130,0.027291985,-0.22147448,0.06272371,-0.069042265,0.028616115,0.0137635255,0.9971082,0.23179746
131,0.00051693566,-0.06664895,0.03268044,-0.015872814,0.006354637,-0.0092941495,0.99981064,0.0742318
132,-0.012418291,-0.021753334,0.015812064,0.04728471,-0.016389389,-0.04336722,0.997805,0.02962166
133,-0.009341034,-0.07259717,-0.029859193,0.04924018,-0.050156407,-0.0061804187,0.9975077,0.079051726
134,0.039106555,-0.064845994,0.0049621444,0.08039083,0.08720456,0.063480526,0.9909101,0.07588774
135,0.014563626,0.013546692,0.030793212,0.004321484,0.040160526,-0.005594713,0.9991682,0.036658343
136,0.004682489,0.0059295953,0.032669738,0.10701799,0.026735308,-0.031776812,0.9933894,0.03353204
137,0.009807953,-0.062947184,-0.0033106818,0.03711927,0.009916086,-0.037284527,0.9985658,0.06379267
138,-0.014213277,-0.042506803,0.025778655,0.057077087,-0.036688104,-0.0287558,0.99728096,0.051704783
139,-0.02197128,-0.0039140494,0.009288174,0.02723183,-0.068421654,-0.042753767,0.99636793,0.02417286
140,-0.012670775,-0.003916202,-0.0072599305,-0.0035966798,-0.05002279,0.0039914185,0.99873364,0.015119252
141,-0.0123685645,0.023376158,-0.0034214586,-0.02541884,-0.019665223,-0.0039872876,0.9994755,0.026667068
142,0.025656769,0.0078487145,0.008667175,0.0023650795,0.09214702,0.09225835,0.99145937,0.028195603
143,0.062251944,-0.017315483,-0.043239746,-0.110921234,0.18158329,0.13027008,0.9683768,0.07774835
144,0.1026034,-0.026126517,-0.08262248,-0.2176312,0.13757384,0.013589792,0.9661912,0.13430014
145,0.06571977,0.09740145,-0.012455085,-0.17602451,0.07071503,-0.03668418,0.981157,0.118157774
146,0.08727482,0.0718584,0.07590141,-0.05822395,-0.015954154,-0.044755477,0.9971722,0.13616735
147,0.17539991,-0.009619148,0.1040974,0.0005789516,-0.022298547,-0.050481148,0.9984759,0.20419091
148,0.20275037,0.041033473,0.04238006,0.019727055,-0.046965588,-0.06772381,0.9964028,0.21115759
149,0.07982169,0.014553539,0.006997463,0.066337764,-0.003163709,-0.00073735276,0.99779195,0.081438765
150,0.029641598,-0.002015236,0.004489498,0.040882472,0.014868591,0.027804177,0.99866635,0.030047316
151,-0.00045059496,0.03387047,0.02184085,-0.13535295,-0.003408998,-0.007624841,0.99076223,0.040304273
152,0.016101755,0.021615382,0.02911286,-0.09025261,0.03214534,0.010012489,0.99534965,0.039674297
153,-0.0063979784,-0.012195514,-0.008629599,0.072798915,-0.014190151,-0.019788895,0.99704933,0.01625222
154,-0.013157574,0.010685526,-0.03157787,0.03677113,-0.031238759,-0.037839,0.99811834,0.03583942
155,-0.08643327,0.09779012,-0.04507926,-0.22839183,-0.10532547,-0.10967864,0.9616207,0.13807881
156,-0.31077534,0.047568914,0.055340614,-0.07397601,-0.038438316,-0.081098795,0.9932135,0.3192283
157,-0.28631034,-0.008639222,0.11203237,0.031069059,-0.02724376,-0.022625962,0.9988897,0.3075703
158,-0.019168211,0.035335064,0.11566939,0.12577686,-0.008442965,-0.030310266,0.99155945,0.12245569
159,0.020533344,0.06169557,0.07742399,-0.28048414,-0.018422045,0.03741861,0.95895207,0.101106055
160,0.02968526,-0.030972881,0.11078186,-0.16340454,-0.023431301,0.03178403,0.9857686,0.1187988
161,0.018462002,-0.0074799983,0.23379599,-0.017894866,-0.021641783,-0.00549447,0.9995905,0.23464304
162,0.025213858,-0.028636603,0.26594055,0.018008554,0.006765685,-0.013799632,0.9997197,0.26866367
163,0.046208315,-0.114724584,0.2428805,0.043791093,-0.0007162505,0.015945047,0.9989132,0.272558
164,0.055354692,-0.06708331,0.27776682,0.08705867,0.035468504,0.018973157,0.9953908,0.2910648
165,0.030218432,-0.066777036,0.22772911,0.08712131,0.03249081,0.0017136425,0.99566627,0.23923394
166,0.0025977585,-0.061699614,0.13126732,0.10425467,0.006837129,-0.041674934,0.9936536,0.14506792
167,0.005664334,0.010114256,0.10303363,0.13883978,0.03636118,-0.053603392,0.98819435,0.10368371
168,-0.016674403,0.009452805,0.026150333,0.10869241,-0.0099736,-0.011221432,0.99396205,0.032422695
169,-0.027162122,0.013436989,-0.009349879,0.006290581,-0.078998454,-0.027960444,0.9964627,0.03171362
170,0.0015472006,0.02636269,0.0065673557,-0.0926262,0.0005807544,0.055559825,0.99414945,0.027212411
171,0.030192614,-0.005451156,0.016995981,-0.03828352,0.077700116,0.08183122,0.992875,0.035073813
172,-0.008982589,0.013482021,0.021850426,-0.019517362,-0.03446852,-0.078825735,0.99610114,0.027200973
173,-0.010750467,0.031877242,0.055979975,0.012062002,0.0047573624,-0.025136702,0.99959993,0.06531071
174,-0.023389135,0.017354552,0.015569529,0.008257635,-0.010494839,-0.017160408,0.99976355,0.033024874
175,-0.017345203,0.022025868,0.025163792,0.00017786531,-0.0021732717,-0.02778965,0.99961144,0.037672423
176,-0.002671283,-0.005487192,0.014912859,0.036164567,0.012673493,0.012811683,0.99918336,0.016113298
177,0.020065147,-0.06712205,-0.022551391,0.08939007,0.007074271,0.058994733,0.9942228,0.07359718
178,0.027195014,-0.080115564,-0.025260586,0.013311032,0.034162104,0.08087826,0.9960494,0.08829592
179,0.014913769,0.0037129822,-0.020083705,-0.19838588,0.029975746,0.029429525,0.9792234,0.025289562
180,0.015648354,0.0987644,-0.02547997,-0.3538432,-0.017567117,0.044177867,0.9340956,0.1031916
181,0.006381043,0.044589505,0.09428235,0.047260296,-0.0078842845,-0.026469957,0.9985007,0.10448973
182,-0.0025139153,0.104908556,0.14060402,-0.115727134,-0.018715067,0.01157302,0.9930373,0.1754469
183,0.034705747,-0.107376836,0.16000755,-0.03462931,-0.03542564,0.017703377,0.99861526,0.19579758
184,0.016956035,-0.14343277,0.15364532,-0.021340773,0.0042365575,-0.008026372,0.99973106,0.21087283
185,0.021013418,-0.08574548,0.18290809,0.024010297,-0.025602615,-0.02797496,0.9989922,0.20309904
186,-0.00042622717,-0.049730193,0.07635559,-0.030316163,-0.05314603,0.0002340632,0.99812645,0.09112327
187,0.0053399256,-0.038003653,0.017302515,-0.057270844,-0.024425931,0.022415893,0.9978081,0.042097144
188,0.0006112509,0.010578872,-0.0024888832,-0.06350764,-0.0049596773,0.0014416398,0.99796796,0.010884884
189,-0.002665929,0.0087745115,-0.012894013,0.018341087,-0.0031562876,-0.041359585,0.998971,0.015822604
190,0.005795191,-0.0073011327,-0.0145543385,0.054746922,0.040593386,-0.00011143278,0.99767476,0.017283505
191,0.003751134,0.05006756,0.0072160973,-0.13473071,0.017887322,0.033794913,0.9901442,0.050723795
192,0.004362503,-0.013133101,-0.0010493523,0.040617242,0.013813175,0.013711855,0.9989852,0.013878434
193,-0.002100875,-0.0531891,-0.024805373,0.18248835,0.002629998,-0.032047156,0.98268205,0.05872649
194,-0.017387573,-0.0031331624,-0.017220693,0.013574111,-0.04713534,-0.041816805,0.9979205,0.024671778
195,-0.02073667,0.0154259885,-0.011043926,-0.031942915,-0.061600577,-0.048126515,0.9964281,0.028105851
196,-0.011677911,0.002311425,-0.010499901,-0.0070769624,-0.036481872,-0.01809186,0.99914545,0.01587338
197,0.0003370026,0.0014877059,-0.004414266,-0.010636969,0.0068221805,0.00725675,0.99989384,0.0046703946
198,-0.00030915593,0.005287872,-0.00084721966,-0.018285077,0.004577669,0.0005100411,0.9998222,0.005364229
199,-0.018972054,0.024402997,-0.015831193,-0.08528626,-0.046607625,0.015592271,0.99514365,0.034728542
200,0.037358813,-0.08229983,-0.037211776,0.3029395,0.14656754,0.010177047,0.9416167,0.09774282
201,0.023564158,-0.016162256,0.02522753,0.09666003,0.058958977,-0.0044008135,0.9935599,0.03811714
202,0.0050273035,-0.0051530492,0.01020834,0.13887954,0.027602632,-0.051623076,0.9885776,0.012491514
203,-0.018052373,0.035195705,-0.017368397,-0.011808108,-0.03318191,-0.04211136,0.99849194,0.043200545
204,-0.012906403,0.008651852,-0.021969369,-0.031515293,-0.023903161,-0.00010681681,0.9992174,0.026908789
205,-0.010136727,0.023792608,-0.009812144,-0.042747848,-0.012189813,-0.011561071,0.99894464,0.027660795
206,-0.00019983923,-0.012490864,-0.008928419,0.06309637,0.011313596,-0.013171443,0.9978564,0.015355074
207,-0.0032790005,-0.023195986,-0.018611548,0.10027628,0.0092908,-0.040077906,0.9941087,0.029919816
208,0.036171447,-0.025525179,0.008180925,0.16577634,0.12516353,0.014522206,0.97808045,0.045020394
209,0.01992678,-0.13289407,-0.0841282,0.34268922,0.08795058,-0.031122308,0.9348049,0.15854168
210,0.007155419,-0.19596624,-0.045057405,0.34801605,0.044638187,-0.056306526,0.9347309,0.2012067
211,0.02767678,-0.06949097,0.08215541,0.23463307,0.05875061,-0.017903304,0.9701418,0.111105844
212,0.014121783,-0.040343545,0.08038165,0.077477925,0.015212047,-0.025393883,0.9965545,0.09103975
213,0.028726315,-0.10220942,0.13881628,-0.025683982,-0.008998321,-0.0078275455,0.999599,0.17476249
214,0.024005987,-0.07600455,0.2787887,-0.03409387,-0.013144568,-0.0070876055,0.99930704,0.2899588
215,0.046929527,-0.12598182,0.29276785,-0.00059084425,0.012709529,0.043962374,0.99895215,0.32215962
216,0.03567136,-0.14987914,0.37436256,-0.05004739,0.026420632,0.00950512,0.99835205,0.40482533
217,-0.003096307,-0.11974558,0.34707433,0.005044368,0.007283681,0.0113888625,0.9998959,0.3671637
218,-0.012833097,-0.1910883,0.2805083,0.02664134,-0.032502234,0.024462016,0.998817,0.33965328
219,0.01666643,-0.14999153,0.2814424,0.04457692,-0.00017219935,-0.013846047,0.99891,0.319351
220,-0.0055001043,-0.16321966,0.23540294,0.089640245,-0.020312674,0.011537495,0.9957002,0.28650558
221,0.0054020463,-0.21496303,0.17366885,0.026426148,-0.016625954,-0.005315728,0.99949837,0.27640396
222,0.038896427,-0.18480663,0.18577152,-0.009351412,0.021286156,0.010454176,0.99967504,0.26491034
223,0.00067285827,-0.1876914,0.10268855,-0.06205745,-0.00027847895,-0.025444718,0.99774814,0.21394731
224,-0.0110553615,-0.18230247,-0.026175305,-0.14917721,-0.011682685,-0.031044744,0.98825395,0.18450356
225,0.0058080037,-0.014431776,-0.021497546,-0.08007481,-0.0018908398,-0.026237035,0.9964417,0.026535891
226,0.0044128164,0.015589527,-0.000492478,0.004351773,0.019812336,0.01371386,0.9997002,0.01620953
227,0.023650968,0.0033328966,0.027440986,0.055129144,0.08524452,0.07962802,0.9916418,0.03637972
228,0.015228951,-0.0048825103,0.029579569,0.028357035,0.051855106,0.05122437,0.9969368,0.033626042
229,-0.052454513,0.045495294,-0.045340195,-0.017162316,-0.20543565,-0.16428135,0.96463114,0.08292787
230,-0.026156904,0.035926573,-0.020640831,-0.03744869,-0.075528204,-0.046839032,0.99533874,0.04899945
231,-0.024989204,0.010846009,0.01796457,-0.04888179,-0.021358758,-0.018375628,0.99840707,0.03263161
232,-0.002857429,0.0006722709,0.0036787982,0.002288301,0.009219664,-0.026171595,0.99961233,0.004706422
233,0.0028597764,-0.031528935,-0.026109936,0.056265723,-0.0014910393,-0.005063153,0.9984019,0.041036334
234,0.005598333,-0.025733825,-0.038732294,0.022631353,-0.029708205,-0.015683375,0.9991793,0.04683761
235,0.004203195,0.036059696,-0.009029889,-0.14932284,-0.03588195,0.044329487,0.9871424,0.03740999
236,-0.010657314,0.07227155,0.1032405,-0.032637402,-0.044263616,0.013370797,0.9983971,0.12647274
237,0.0019691333,0.05167222,0.116436645,0.036325555,0.013027904,0.0029955856,0.9992506,0.12740247
238,-0.008216394,0.048936386,0.032617096,-0.018495735,-0.018487366,0.016443703,0.99952275,0.05938143
239,-0.0033128164,0.031277496,0.009448721,-0.033522952,0.000690497,-0.0049145566,0.99942565,0.032841053
240,-0.00012715698,-0.029566534,-0.014745258,0.072803944,0.01041962,-0.010224335,0.9972394,0.033039656
241,-0.02906136,-0.041310474,-0.040394593,-0.040686384,-0.008711903,0.020273205,0.9989283,0.06467489
242,-0.03090661,0.0102410745,-0.0067488193,-0.0366184,-0.0024434424,0.018780673,0.99914986,0.033251237
243,-0.0063211457,0.015996553,0.015185107,-0.015365334,0.0053093187,0.014008734,0.9997697,0.02294415
244,0.02128146,-0.030300507,-0.0031125804,0.023755724,-0.008265876,0.013298178,0.99959517,0.0371579
245,0.016321123,-0.06475335,-0.01199433,0.02387079,-0.020502571,0.008815469,0.99946594,0.06784718
246,0.011521902,-0.022601599,0.0010336469,-0.010783071,-0.007364694,0.01244032,0.99983734,0.025390057
247,-0.0008480053,-0.002445372,0.0013127769,0.052944425,0.0029918277,-0.030761817,0.99811906,0.002902127
248,-0.021104738,0.06260572,0.005084593,-0.01858258,-0.018528763,-0.04754605,0.9985243,0.06626265
249,-0.045136627,0.08110729,0.0030430083,-0.0753554,-0.026936838,-0.0105807595,0.9967367,0.092870705
250,-0.010858658,0.0349906,0.0067629544,-0.048891347,0.008036615,0.014593143,0.99866515,0.03725574
251,0.018198604,-0.014776189,-0.0028687916,-0.0046852366,0.0145823555,0.04140937,0.99902487,0.023616835
252,0.06968935,-0.040898584,-0.00019363644,-0.057080876,0.048536345,0.057334803,0.9955394,0.08080431
253,0.020978218,0.04199165,0.008694532,-0.3576938,0.008388995,0.1313909,0.9245113,0.047738656
254,0.0046098847,0.06973502,0.10414971,-0.20613533,-0.016170645,0.055257894,0.97682816,0.12542482
255,-0.0018751257,0.004703746,0.17493542,-0.1764198,0.008541567,0.017037706,0.9841305,0.17500868
256,0.0036744731,-0.1007836,0.10133952,-0.13299794,-0.00028883418,-0.012179281,0.9910414,0.1429704
